ID,position_ID,department_ID,spacesuit_ID,origin_planet_ID,wormhole_navigation_skill,stardust_collection,first_name,last_name,nick_name,birthday,email,createdAt,createdBy,modifiedAt,modifiedBy
b44a4ad4-c361-4e82-88f3-a2efe97de4c3,bbf25b5e-738a-40a6-bb60-cb8365e58259,6de07ed5-af48-4381-a038-a817b5769903,447143ae-95bf-4527-9616-43c248355664,e093048b-c1f8-49eb-ba79-fe6599e00154,3,629382,Vega,Nebula,Veg-Neb,2222-04-09,vega_nebula@spacefarers.com,2025-02-24T07:53:07Z,system,2025-02-24T07:53:07Z,system
5d251891-877a-4ca7-b13a-33f610dedc0e,bbf25b5e-738a-40a6-bb60-cb8365e58259,d11119b4-d1a8-426d-a000-339f0df48a66,5517c6c5-6955-45e5-86cd-a89c92a86012,3ecbf208-aa4f-46e0-a1e4-6aa16b3e3f7c,8,965372,Lyra,Blackhole,Lyr-Bla,2254-12-09,lyra_blackhole@spacefarers.com,2025-02-24T07:53:07Z,system,2025-02-24T07:53:07Z,system
d1579a11-9ba2-46b3-b992-55e0e2cd02aa,c58df844-0dac-484c-8ebb-43cf61d9b577,a4c92264-54a9-42ac-8bf9-71675375ebb0,0dd7ddc8-2849-48b8-a2fe-14d859ebfc45,a08d5219-a632-4f78-9de9-1769ae45b269,3,118235,Cassiopeia,Pulsar,Cas-Pul,2263-01-23,cassiopeia_pulsar@spacefarers.com,2025-02-24T07:53:07Z,system,2025-02-24T07:53:07Z,system
37234d58-bb56-46d1-aa26-afe92745ef8e,1af34c7e-2575-4a29-8ca9-e3075f5c3274,85d4f2da-2e37-4a9f-b165-6f25426e4fc2,36a1cac9-688b-48c3-ab5d-301cd554eaed,aaee7495-442e-41e7-b75f-1f3c1ab3490e,0,933107,Orion,Cosmos,Ori-Cos,2221-07-08,orion_cosmos@spacefarers.com,2025-02-24T07:53:07Z,system,2025-02-24T07:53:07Z,system
e34faefa-23ef-4bb5-a410-841691235ed9,bbf25b5e-738a-40a6-bb60-cb8365e58259,a4c92264-54a9-42ac-8bf9-71675375ebb0,f7f0704d-26cc-4b9f-a1d7-8fbcdfb96cc5,aaee7495-442e-41e7-b75f-1f3c1ab3490e,4,879621,Andromeda,Cosmos,And-Cos,2284-03-19,andromeda_cosmos@spacefarers.com,2025-02-24T07:53:07Z,system,2025-02-24T07:53:07Z,system
073ce077-f524-41cd-b673-01a0ab68f3d8,f43aeced-8fa5-47d2-b8ef-c864e4e09a37,d11119b4-d1a8-426d-a000-339f0df48a66,48dfc915-e048-45e8-8cec-99bf686d79d7,aaee7495-442e-41e7-b75f-1f3c1ab3490e,3,500553,Orion,Stellar,Ori-Ste,2274-12-02,orion_stellar@spacefarers.com,2025-02-24T07:53:07Z,system,2025-02-24T07:53:07Z,system
7cd4c0c5-8210-40ce-82e7-c97581d518a2,ce8a4b9a-20ef-4b21-a3e6-0850e3928838,85d4f2da-2e37-4a9f-b165-6f25426e4fc2,d36f49f5-a3ce-4dff-bf2b-70c895f00400,e568b88f-dbdf-47b8-bb0f-b346419b6ee1,3,84286,Vega,Cosmos,Veg-Cos,2241-07-23,vega_cosmos@spacefarers.com,2025-02-24T07:53:07Z,system,2025-02-24T07:53:07Z,system
14b560ef-bc93-424f-9977-ff5ac6e7c68d,bbf25b5e-738a-40a6-bb60-cb8365e58259,abed6ac3-2193-4898-b6a8-8b8d8e331f58,1c7646e3-bde4-4bf2-8db5-214b26f2ac2d,3ecbf208-aa4f-46e0-a1e4-6aa16b3e3f7c,10,285118,Cassiopeia,Eclipse,Cas-Ecl,2206-09-19,cassiopeia_eclipse@spacefarers.com,2025-02-24T07:53:07Z,system,2025-02-24T07:53:07Z,system
40f38b4e-9181-41b5-9044-23486666a0e6,bbf25b5e-738a-40a6-bb60-cb8365e58259,6de07ed5-af48-4381-a038-a817b5769903,4f527e11-31c3-4378-8333-7a138345f3df,e568b88f-dbdf-47b8-bb0f-b346419b6ee1,0,836910,Sirius,Stellar,Sir-Ste,2235-12-15,sirius_stellar@spacefarers.com,2025-02-24T07:53:07Z,system,2025-02-24T07:53:07Z,system
0d471433-7488-4cd8-8f15-8717ba04b937,1af34c7e-2575-4a29-8ca9-e3075f5c3274,85d4f2da-2e37-4a9f-b165-6f25426e4fc2,56d90c4a-61f5-4684-b021-35a998015790,3ecbf208-aa4f-46e0-a1e4-6aa16b3e3f7c,8,56265,Rigel,Nebula,Rig-Neb,2264-10-16,rigel_nebula@spacefarers.com,2025-02-24T07:53:07Z,system,2025-02-24T07:53:07Z,system
